,Text,Sentiment Score,Sentiment Label
71,thread            simpleman      kkn             desa       tari           mcm          nk           dgn         abdi         setan       def          gon         na           watch,0.0,netral
72,coba              niat           mo              bikin      universe       aksen        skript       main        bahasa       jawanya     dibenerin    minimal     kek          tisa,0.0,netral
73,kkn               desa           tari            takberani  nak            tengok       baru,0.0,netral
74,malam             tengok         kkn             desa       tari           housemate    lepastu      dedua       jerit        hahaha      babiii       hateee      watching     movies,3.0,positif
75,boysplanetarea    bagus          nder            bagus      evil           editing      pake         lagu        kkn          desa        tari,-3.0,negatif
76,bayuisa           moviemenfes moro               maleh      desone         koyo         kkn          desa        tari         enek        demit        e           wkwkwkwkwk,0.0,netral
77,thmdn             kkn            desa            tari       tengok,0.0,netral
78,jekeygemes        habisnontonfilmseng            nulis      kuwi           ki           penulise     podo        karo         tulis       kkn          desa        tari         mba,0.0,netral
79,producer          author         kkn             desa       tari           ok           next,0.0,netral
80,kkn               desa           tari            takde      la             seram        meh          opinion     tengok       semata      sbb          viral       n            org,0.0,netral
81,unmagnetism       kek            lokasi          kkn        desa           tari,0.0,netral
82,ancrit            gue            ga              nyimpen    lg             foto         tiket        nonton      kkn          desa        tari,0.0,netral
83,takut             citer          mistik          nak        tonton         tu           idok         ler         baca         suka        read         story       already      desa,0.0,netral
84,kkn               desa           tari            sewu       dino           adaptasi     thread       akaun       twitter      simpleman   simpleman    aku         sewu         dino,0.0,netral
85,filem             horror         baharu          garap      md             pictures     terbit       kkn         desa         tari        sambut       kkn         buat         minat,0.0,netral
86,kena              tengok         ni              studio     tulis          kkn          desa         tari,0.0,netral
87,geovanrv          twitter        gpp             army       masuk          dunia        kaya         kkn         desa         tari,0.0,netral
88,thundeirbolts     watchmenid     yg              baca       isi            kyk          baca         cerita      kkn          desa        tari         ya          sebenernya   ajar,0.0,netral
89,meme              indonesia      pln             desa       tari           pln          id           https       co           byg         sjsv         https       co           nqsqfqbqyj,0.0,netral
90,kalah             kkn            desa            tari,0.0,netral
91,kagebuncin        kek            kkn             desa       tari           jam,0.0,netral
92,gewlud            ya             lu              yg         surup          desa         tari         doang       ajg,0.0,netral
93,sylthelords       gue            gk              kkn        desa           tari         ya           ajg,0.0,netral
94,sewudino          rating         menit           lebaran    april          longest      kimo         movie       ever         helm        lesson       learned     kkn          desa,0.0,netral
95,teman             udah           nonton          film       kkn            desa         tari         mohon       bantu        isi         kuesioner    teliti      ya           https,0.0,netral
96,apathoni          aglioelio      help            cinta      ayat           ayat         cinta        tenggelam   van          der         wijck        abdi        setan        kkn,2.0,positif
97,malam             layan          la              cerita     kkn            desa         tari         husband     penah        tengok      lgi,0.0,netral
98,kkn               desa           tari            official   teaser         bioskop      https        co          gngzs        cg          k,0.0,netral
99,kkn               desa           tari            official   trailer        bioskop      https        co          hhviulsflp,0.0,netral
100,yg                syukur         ga              nonton     bioskop        aja          deh          ya          nih          sri         asih         ghost       hunter       perempuan,-1.0,negatif
101,kmrn              sempet         nonton          ivana      kkn            desa         tari         perempuan   gaun         merah       wkwk,0.0,netral
102,mekimasan         lagu           kkn             desa       tari,0.0,netral
103,ni                kat            filem           kkn        desa           tari         seriau       fikir       filem        tu          dasar        kisah,0.0,netral
104,kkn               desa           tari            tuu        haha,3.0,positif
105,airil             main           yer             tari       canggur        desa         https        co          cqwbczugc,0.0,netral
106,moviemenfes       kkn            desa            tari,0.0,netral
107,wahiwuutt         irfansatria    kkn             desa       tari           cite         ni,0.0,netral
108,goodrecom         limited        edition         gan        edisi          kkn          desa         tari        cuman        dunia,-1.0,negatif
109,ni                desa           tari            ahahahaha,0.0,netral
110,bcotieaja         moviemenfes emang              bagus      ajasih         ga           overrated    overrated   tu           kkn         desa         tari,0.0,netral
111,movie             desa           tari            ni         stress         tengok       kampung      semak       samun        gitu,-1.0,negatif
112,,0.0,netral
113,mcm               movie          desa           tari          tu                 ka,0.0,netral
114,ni                mcm            citer          kkn           desa               tari,0.0,netral
115,irfansatria       datukhensem    ni             cerita        kkn                desa       tari,0.0,netral
116,irfansatria       datukhensem    cerita         kkn           desa               tari       ni                kopi         pahit          manis         sbb            jin                yg            target,0.0,netral
117,irfansatria       datukhensem    cerita         kkn           desa               tari       tu                ya,0.0,netral
118,ni                filem          kkn            desa          tari               plot,0.0,netral
119,tanyakanrl        klau           sepupu         gk            bwa                truck      si                tpi          pas            sepeda        arah          pulang              abis          kerja,0.0,netral
120,contoh            film           kkn            desa          tari               raup       juta              tonton       kumham         kalsel        lpnkarangintankumhamkalsel        faisolali     lpnkarangintan,0.0,netral
121,kkn               desa           tari           sewu          dino               tarik      baca              biar         orang          theatre       mindnya       ketimbang           film,0.0,netral
122,ingat             gabung         twitter        ya            harijaditwittersayakarna      alas              pas          jaman          covid         main          medsos              apa           udh,-1.0,negatif
123,skincare          bagus          underrated     utas          jisoo              wild       kkn               desa         tari           bekas         iphone        agustus             jungkookday   https,0.0,netral
124,tk                il             azthraal       lupa          desa               tari       mangoetzzz,0.0,netral
125,kkn               desa           tari           uncut         https              co         pwmctl            e            https          co            hm             asv                cye,0.0,netral
126,undipmenfess      pas            patung         tutup         kain               putih      rem               nder         asa            kkn           desa           tari,0.0,netral
127,capytown          fak            gak            takut         diceritain         kkn        desa              tari,0.0,netral
128,ahh               shit           kkn            desa          tari               go,-4.0,negatif
129,dhyntaa           sak            multiverse     ambk          kkn                desa       tari              iki,0.0,netral
130,kkn               desa           tari           luwih         dowo               luwih      medeni            kisah        enam           mahasiswa     nur            widya              ayu           bima,0.0,netral
131,somebody          date           morning        seggs         dinner             seggs      rough             seggs        soft           seggs         kitchen        seggs              shower        seggs,0.0,netral
132,sumpah            baca           threadnya      aja           merinding          jir        tpi               penasaran    kek            gimana        adaptasi       film               kkn           desa,0.0,netral
133,ndifann           iya            simple         man           kayak              kkn        desa              tari,0.0,netral
134,yourlastya        kayak          kkn            desa          tari,0.0,netral
135,tanyakanrl        jagain         kayak          nur           kkn                desa       tari              loh          jaga,0.0,netral
136,official          teaser         ost            kkn           desa               tari       https             co           qgddupoyvs,0.0,netral
137,ost               kkn            desa           tari          official           teaser     https             co           lpiagf     knd,0.0,netral
138,fwbess            hmu            soc            hereee,0.0,netral
139,fwbess            soc,0.0,netral
140,f                 solo           yg             bom           masjid            syaikh      zayed             https        co             ibhjonsfao,0.0,netral
141,ni                kkn            desa           tari          ririastria,0.0,netral
142,kkn               desa          tari            parah         sih               guna        jawanya           pake         jawa           jawa          doang          tempat             gak           pas,0.0,netral
143,jalan             kkn           desa            tari          https             co          obgtueckjd,0.0,netral
144,suholee           gar           log             garem         oren              onlyvvan    habisnontonfilm   kkn          desa           tari          karakter       orang              desa          orang,0.0,netral
145,thejurgenholic    lagu          remix           kkn           desa              tari        gen,0.0,netral
146,justmeorme        setia         tunggu          sewu          dino              moga        patah             harap        kayak          desa          tari,0.0,netral
147,ipunk             suka          cerita          kkn           desa              tari        daerah            bwi          tp             challenging   jg             kalo               rumah         spt,0.0,netral
148,populer           sinopsis      sewu            dino          seram             kkn         desa              tari         https          co            hyqogbjdt,0.0,netral
149,detikcom          syuting       desa            tari,0.0,netral
150,ruanglucuuu       kkn           desa            tari,0.0,netral
151,oalaah            gin           kkn             desa          tari,0.0,netral
152,narcissons        preman        desa            tari,0.0,netral
153,moviemenfes       nonton        kkn             desa          tari              geli        cok               gada         proper         riset         gitu           basa               jawa          aja,0.0,netral
154,akubinaan         saturnalready kkn             desa          tari              wkwkkw,0.0,netral
155,harga             tiket         bioskop         kkn           desa              tari,0.0,netral
156,dapetin           tiket         sewu            dino          ga                dapetin     kkn               desa         tari,0.0,netral
157,jogmfs            pas           jaman           kkn           desa              tari,0.0,netral
158,film              based         trailer         sm            film              kkn         desa              tari         kesan          kalo          film           dasar              pov           org,0.0,netral
159,zareihan          notahappysaladmoviemenfes org               org               mikir       bahasa            indonesia    dimedokin      bahasa        jawa           timur              refer         kkn,0.0,netral
160,alfanrahadi       lewatsfilm    habisnontonfilm ulang         resah             orang       jawa              asli         pas            nonton        kkn            desa               tari          kek,0.0,netral
161,lg                ulang         salah           kkn           desa              tari,0.0,netral
162,thn               mlh           hrs             tunggu        minggu            slps        film              lebaran      utk            tonton        film           indonesia          krn           bioskop,0.0,netral
163,film              kalah         bagus           kkn           desa              tari        https             co           whpanm         z,0.0,netral
164,jokiin            teks          kritik          film          kkn               desa        tari              due          minggu         zonaba        zonauang,0.0,netral
165,ngeri             film          kkn             desa          tari              sinopsis    sewu              dino         tayang         lebaran       kkndesapenarifilmkkndidesapenarisinopsis        sewudino,0.0,netral
166,badarawuhi        gak           ikut            kutip         film              kkn         desa              tari         https          co            eronygrpdc,0.0,netral
167,rekor             film          kkn             tembus        jt                tayang      malam             https        co             eronygrpdc,0.0,netral
168,film              kkn           film            laris         industri          film        ambil             genre        horor          https         co             nyioqarhhl,0.0,netral
169,kisah             kkn           desa            tari          ambil             kisah       nyata             mahasiswa    kkn            desa          tonton         https              co            nyioqarhhl,0.0,netral
170,watching          kkn           desa            tari,0.0,netral
171,maksimal          film          kualitas        kkn           desa              tari        baik,0.0,netral
172,usul              badarawuhi    film            kkn           desa              tari        doyan             wik          wik            penasran      film           tonton             https         co,0.0,netral
173,movie             kkn           desa            tari          full              movie       https             co           nyioqarhhl     lupa          like           share              follow,3.0,positif
174,moviemenfes       tuju          sih             minder        aja               emang       kkn               desa         tari           tonton        ngalahin       dr                 strange       indo,-1.0,negatif
175,swiffties         heyzax        tytyd           nya           uncut             cut         cut               kek          kkn            desa          tari,-2.0,negatif
176,diosetta          jsd           tarik           horror        misteri           hidup       dr                kkn          desa           tari          sewu           dino,0.0,netral
177,h                 moviemenfes bau               bau           rame              kayak       kkn               desa         tari,0.0,netral
178,moviemenfes       gw            nonton          film          yg                kemaren     aja               kkn          desa           tari          gedeg          banget             dialog        nya,0.0,netral
179,moviemenfes       jaman         kkn             desa          tari              dpt         slot              film         mcu            lupa          dr             strange            apa           cuman,-1.0,negatif
180,moviemenfes       kkn           desa            tari          ga                tau         coba              simpleman    boro           boro          inget          bro                simpleman     butuh,0.0,netral
181,kkn               desa          tari            wkwk,0.0,netral
182,bahasa            jawa          kkn             desa          tari              maksa       klo               emang        setting        nya           jawa           timur              gpp           sih,0.0,netral
183,habisnontonfilm   kemarin       kkn             desa          tari              bahasa      luwes             tonton       netizen        hak           harap          adaptasi,0.0,netral
184,beputr            moviemenfes komen             kkn           desa              tari        koq               lurah        pake           bahasa        jawa           ngoko              yo            ora,0.0,netral
185,alas              mergo         ga              ndelok        versi             film        e                 kkn          desa           tari          ndelok         trailer            e             ae,-1.0,negatif
186,habisnontonfilm   gak           nonton          kecewa        kkn               desa        tari              sok          gaya           sok           drama          horor              gada,0.0,netral
187,manoj             punjabi       sewu            dino          milik             potensi     kkn               desa         tari           https         co             apqzhtyq           q,0.0,netral
188,kemarin           rewatch       kkn             desa          tari              adek        trs               scene        pas            anton         ngasih         tau                nur           bawah,0.0,netral
189,moviemenfes       gue           rasain          nonton        kkn               desa        tari              sebel        bgt            anjir         nyampur        bahasa,0.0,netral
190,habisnontonfilm   yups          aneh            kek           kkn               desa        tari              kemaren      banget         dialog        yg             aneh               bilang        gimanapun,0.0,netral
191,habisnontonfilm   kemarin       aja             yg            kkn               desa        tari              bahasa       jawanya        ganggu        maksa          banget             compare       series,0.0,netral
192,manoj             punjabi       sewu            dino          potensi           kkn         desa              tari         https          co            yls            hue                u,0.0,netral
193,moviemenfes       lupa          ajar            film          kkn               desa        tari              hadehh,0.0,netral
194,moviemenfes       blm           minat           nonton        film              adaptasi    tweet             kaca         dr             kkn           desa           tari,0.0,netral
195,manoj             punjabi       film            sewu          dino              seram       banding           kkn          desa           tari          https          co                 nayo          jgvdk,0.0,netral
196,putripurwaa       desa          tari,0.0,netral
197,literallysadboi   cookikawa     moviemenfes simplem           emg               sadar       kalo              simplem      orang          marketing     thread         dijadiin            komersil     kkn,0.0,netral
198,yg                industri      film            indo          saing             lho         bukti             lebaran      kkn            desa          tari           saing               keras        dr,0.0,netral
199,misteri           hutan         karet           part          https             co          jgweosnuk         bacahorror   ceritahorror   horror        threadhorror   ceritahorrorpendaki misteri      ceritamisteri,0.0,netral
200,lilianaaster      sewu          dino            kisah         yg                kyk         kkn               desa         tari           li,0.0,netral
201,udah              nonton        kkn             desa          tari              jumpscarenyaga                guys         sender         suka          jantung,0.0,netral
202,habisnontonfilm   kkn           desa            tari          emang             jelek       bahasa            jawanya      film           yg            ga             baik               salah         orang,0.0,netral
203,moviemenfes       kemaren       gua             nonton        kkn               desa        tari              kagak        subtitle       indonya       anjir          pas                bahasa        jawa,0.0,netral
204,manoj             punjabi       bawa            main          kkn               desa        tari              promosi      kota           negara        https          co                 cmpbq         ako,0.0,netral
205,rill              srimulat      keramat         doang         bahasa            jawanya     acceptable        telinga      wkwkwk         ga            sih            nonton             film          indo,1.0,positif
206,moviemenfes       yap           sepakat         tangkep       nonton            trailer     film              genre        kkn            desa          tari           heran,0.0,netral
207,habisnontonfilm   ngambil       thread          twitternya    si                simple      man               kaya         kkn            desa          tari,0.0,netral
208,moviemenfes       riil          kalo            guna          bahasa            orang       yg                tua          ga             cocok         bisa           bilang             suwun         mbah,0.0,netral
209,ugm               fess          kkn             desa          tari,0.0,netral
210,jokiin            teks          kritik          film          kkn               desa        tari              due          minggu         zonaba        zonauang,0.0,netral
211,ugm               fess          kkn             desa          tari,0.0,netral
212,ugm               fess           kkn            desa          tari,0.0,netral
213,worldtiputipu     desa           tari           aj            tutup             mata,0.0,netral
214,aghniny           haque          main           film          kajiman           iblis       kejam             tagih        janji          ulang         sukses         kkn                desa          tari,0.0,netral
215,seram             kkn            desa           tari          sinopsis          film        sewu              dino         tayang         lebaran       ti             https              co            tvyomxh,0.0,netral
216,film              kalah          bagus          kkn           desa              tari        https             co           whpanm         z,0.0,netral
217,ih                pgn            baca           threadnyaaa   tuh               udah        baca              pas          cuman          kek           skip           krn                suka          cerita,0.0,netral
218,kapok             nonton         kkn            desa          tari              bhs         jawanya           ga           mantep,0.0,netral
219,badarawuhi        gak            ikut           kutip         film              kkn         desa              tari         https          co            eronygrpdc,0.0,netral
220,capriccinos       horor          kayak          kkn           desa              tari        ya,0.0,netral
221,rey               listic         jaya           jaya          jaya              yah         couple            kkn          desa           tari          irl            ayu                bima,0.0,netral
222,rekor             film           kkn            tembus        jt                tayang      malam             https        co             eronygrpdc,0.0,netral
223,film              kkn            desa           tari          bahasa            jawanya     maksa             banget       liat           trailer       sewu           dino               bahasa        campur,0.0,netral
224,,0.0,netral
225,film            kkn             film         laris       industri    film         ambil       genre         horor        https        co           nyioqarhhl,0.0,netral
226,moviemenfes     kkn             desa         tari        didmn       adegan       si          nur           yg           mandi        trus         ganggu         si                 doi,0.0,netral
227,kisah           kkn             desa         tari        ambil       kisah        nyata       mahasiswa     kkn          desa         tonton       https          co                 nyioqarhhl,0.0,netral
228,jokoanwar       horor           drpd         kkn         desa        tari,0.0,netral
229,usul            badarawuhi      film         kkn         desa        tari         doyan       wik           wik,0.0,netral
230,mnurhanif       sosmedkeras     mimpiin      uler        gegara      abis         nonton      film          anaconda     kkn          desa         tari,0.0,netral
231,movie           kkn             desa         tari        full        movie        https       co            nyioqarhhl   lupa         like         share          follow,3.0,positif
232,freshteaaaa     prokernya       ntar         gak         rem         kek          desa        tari          nder,0.0,netral
233,film            indo            please       kalo        judul       jawa         tema        jawa          yall         hire         aktor        jawa           asli               kkn,1.0,positif
234,ajar            kritik          film         kkn         desa        tari,0.0,netral
235,kkn             desa            tari         bener       gajelas     dialog       maksa       pol           pake         bahasa       jawa         wkwk,0.0,netral
236,kayane          nonton          bioskop      kuping      geli        ngrungokne   bahasa      mbok          wis          mending      cari         per            film               lokal,0.0,netral
237,kadyasandya     asli            nonton       kkn         desa        tari         kemarin     protes        ginian       temenku,0.0,netral
238,kiyongbrb       singkat         kkn          desa        tari,0.0,netral
239,deuteronomyth kksn              desa         tari,0.0,netral
240,ketimbang       kkn             desa         tari        tarik       nonton       sewu        dino          si,0.0,netral
241,ulang           salah           yg           kkn         desa        tari         skrip       dialog        sis          boso         jowo         kluthuk        ndak               gene,0.0,netral
242,moviemenfes     kkn             desa         tari,0.0,netral
243,kkn             desa            tari         sm          squid       game         series      sih           tp           ttp          yaa          gitu           ga                 niat,0.0,netral
244,kkn             desa            tari,0.0,netral
245,kkn             desa            tari,0.0,netral
246,jujur           ngerasa         nggak        rem         rem         kkn          desa        tari          sih          versi        film,0.0,netral
247,kadyasandya     ga              kaget        krn         md          wkwkwk       kkn         desa          tari         bahasa       gitu,0.0,netral
248,kadyasandya     salah           sijine       alas        bikin       ndak         kuat        dok           kkn          desa         tari,-1.0,negatif
249,ndenger         bahasa          jawa         remix       bahasa      indonesia    kalo        kalimat       oke          kalo         keburu       males          kayak              orang,0.0,netral
250,liat            trailer         sewu         dino        part        yg           gigit       kek           evil         dead         versi        lokal          lihat              bagus,-6.0,negatif
251,sukakarinaaa    kung            fu           panda       desa        tari,0.0,netral
252,inget           gue             farimurti    ngetawain   bahasa      jawanya      per         per           warga        lokal        kkn          desa           tari               yg,0.0,netral
253,ismiismamasmuk eh               cerita       horror      yg          viral        kayak       kkn           desa         tari,0.0,netral
254,harga           tiket           bioskop      kkn         desa        tari,0.0,netral
255,dipulpong       rem             sii          dipp        wkwkwk      ingetnya     pas         cuplik        film       kkn            desa         tari           trailer            skrg,0.0,netral
256,misteri         hutan           karet        part        https       co           c           ejjmmkos      bacahorror ceritahorror   horror       threadhorror   ceritahorrorpendakimisteri,0.0,netral
257,kkn             desa            tari         official    trailer     april        bioskop     https         co         ljswj,0.0,netral
258,kadyasandya     pas             kkn          desa        tari        nggateli     te          cok,0.0,netral
259,gokil           film            cerita       simpleman   udah        baca         threadnya   sih           ga           wow          kkn          desa           tari               kemaren,4.0,positif
260,shoguneuthymia kkn              desa         tari        bang,0.0,netral
261,kkn             desa            tari         bibo        pasang      koridor      tanggal     merah         well         fakta        mei          rerata         okupansi           kkn,0.0,netral
262,koreksi         update          koridor      rilis       lebaran     jalur        mulus       bentang       film         indonesia    saing        hollywood      blockbuster        koridor,3.0,positif
263,kadyasandya     yokann          mbatinn      pas         kkn         desa         tari        pingin        sunat        iku          ilat         e,0.0,netral
264,ulyzulfaa       tanyakanrl      baca         ga          kaya        pas          baca        kkn           desa         tari         rem          bingung        iya                wkwk,0.0,netral
265,gua             baca            cerita       simple      man         merindingg   puooll      ngalah        kkn          desa         tari,0.0,netral
266,trailer         sewu            dino         yg          yg          kkn          desa        tari          beda         yh           suka         yg             kkn                desa,0.0,netral
267,kemaren         giat            nonton       kkn         desa        tari         kamis       malam         jumat        yg           ngejak       gw             ga                 temen,0.0,netral
268,baca            threadnya       turut        sewu        dino        rem          ampun       ngalahin      kkn          desa         tari         jdi            fav                baca,0.0,netral
269,habisnontonfilm rem             banding      kkn         desa        tari         sih         kkn           udh          rem          freaky       bgt            sih                trailer,0.0,netral
270,kimetsu         yaiba           desa         tari,0.0,netral
271,bagi            film            kkn          desa        tari        extended     movie       btw           nonton       bareng,0.0,netral
272,moga            tydack          kecewa       kkn         desa        tari         hadehhh     bgt,0.0,netral
273,jeongjeffers    yg              bikin        thread      desa        tari         gasih,0.0,netral
274,lepas           kkn             desa         tari        lesssgoo,0.0,netral
275,tw              horor           hantu        blm         sempet      baca         thread      sewu          dino         nya          sampe        selesai        kalo               nonton,0.0,netral
276,film            kalah           bagus        kkn         desa        tari         https       co            whpanm       z,0.0,netral
277,bbayi           seru            kayak        desa        tari        tp           rem         wkwkwk        udah         film,0.0,netral
278,badarawuhi      gak             ikut         kutip       film        kkn          desa        tari          https        co           eronygrpdc,0.0,netral
279,habisnontonfilm kemarin         udah         liat        sequel      film         kkn         desa          tari         extended     movie        emang          ngeri              sih,0.0,netral
280,kucingsukamakan yeah            usually      give        type        stories      benefit     doubt         one          sit          right        feels          like               trying,4.0,positif
281,rekor           film            kkn          tembus      jt          tayang       malam       https         co           eronygrpdc,0.0,netral
282,film            kkn             film         laris       industri    film         ambil       genre         horor        https        co           nyioqarhhl,0.0,netral
283,kaya              yg            layak        tonton      dr          yg           desa        tari,0.0,netral
284,udah              baca          threadnya    tau         takut       banding      kkn         desa          tari,0.0,netral
285,harimau           wilayah       garut        sih         maung       pulau        jawa        bahas         ular         nyi          blorong      badarawuhi     nagini             siluman,0.0,netral
286,exodusuho         bagus         threadnya    lbh         bagus       dr           desa        tari,0.0,netral
287,beuh              ngantuk       bgt          mana        survey      kkn          desa        tari          ngga         ding         rem          bgt            kering             gk,0.0,netral
288,kisah             kkn           desa         tari        ambil       kisah        nyata       mahasiswa     kkn          desa         tonton       https          co                 nyioqarhhl,0.0,netral
289,cinta             horor         wait         sewu        dino        thread       suka        sewu          dino         kkn          desa         tari           kimo               stamboel,0.0,netral
290,abellcart         hekyie        tanyakanrl   si          sri         tinggal      jg          ya            brtanya      kisah        nyata        fiksi          sih                kyk,0.0,netral
291,ah                trnyata       yg           mikir       sewu        dino         g           rem           lbh          merinding    wktu         baca           yg                 kkn,0.0,netral
