text,label
"Keren
Melestarikan Peninggalan leluhur
Cerita leluhur dan menghidupkan ekonomi sekitar",
Nyaman,
Cocok buat refreshing,netral
Tempatnya sangatlah rindang,positif
Bagus,netral
Bisa dijadikan wisata edukasi dan outbound...,
Sayangnya kurang terawat,netral
"Tempat untuk outbond bersih ,luas,dan nyaman..",
beautifull view,netral
Malam buka tapibtempatnya ngeri2 sedap lewat hutan malam gelap swepi,netral
👍👍👍,positif
sudah lebih baik dan bagus,netral
Cukup menarik  wisata disitu.bisa utk ketenangan pikir  ..sambil menelusuri kisah terjadinya api abadi ..,positif
Perlu dilestarikan biar apinya tidak susut kobar annya,netral
"Tempat yg menarik untuk dikunjungi,  sebuah keajaiban alam api abadi yang tak pernah padam, dengan lingkungan alam yang masih asri",positif
keren semakin bagus,positif
Luas nyaman cocok buat kluarga,positif
Bagus,netral
Eksotis dan sejuk,positif
Mengesan kan dan banyak kenangan disini,netral
Suasananya agak mistis. Cocok buat yg suka mistis.,netral
"Tempat bersejarah jaman kerajaan majapahit,,tempat menempa tosan aji dan meditasi leluhur terdahulu salam rahayu",netral
Great night tourism,netral
"Tiket masuk weekdays 7.5k Parkir motor 2k
Mempunyai mushola, toilet khusus disabilitas, ruang laktasi, dan tempat yg nyaman",netral
"Nice, adem.. Jgn terlalu lama deket api bau belerang",netral
Suasana malam cukup memberi kesan mistis. Pohon2 jati ratusan tahun usianya dibungkus kain putih dan sorot lampu membuat pohon2 itu tampak gagah dan berwibawa. Sayang ulah para pengunjung yg kurang bertanggungjawab masih terlihat di sana sini dengan ceceran sampah2 sisa minuman. Penjaga yg tidak memberi karsis resmi menjadikan tempat itu spt kurang koordinasi.,negatif
Alhamdulillah...pesona api alam khayangan Bojonegoro sangat menakjubkan,positif
"Menakjubkan, dan puas banget",positif
Kayangan api bojonegoro....api abadi,netral
Wisata api abadi yang ada di kota bojo5,netral
"Sebagai salah satu destinasi wisata, tepat jika dijadikan wisata edukasi sejarah. Tempat (Situs) lokasi yang dapat dilihat tidak hanya 'api abadi' saja namun ada juga sumber air belerang, tempat2 pembuatan Keris, rumah2 tempat lokasi semedi serta banyak titik pembelajaran dan tentunya berswafoto yang apik. Kawasan Ini sudah sangat rapih dan tertata akses ke lokasi yang mudah dan lancar (jalan beton dengan petunjuk Arah yang dapat dijadikan wisawan sebagai petunjuk... Selain menggunakan google maps) untuk sinyal menuju lokasi sangat lancar walaupun lokasi di dalam hutan anda tidak perlu khawatir akan sinyal :) pastikan anda melihat salah satu keajaiban dunia versi Bojonegoro...",netral
Indah dan bagus serta salah satu situs budaya di kabupaten Bojonegoro yang sangat bersejarah,positif
Kurang tertata tapi udah baik,netral
Beneran Hot. Just Like Negara Api.,netral
Bagus bersih....,positif
Good place to visit,netral
"kurang bersih sih.. yg area sumur itu.. trus rumah"" itu agak kotor",negatif
Sangat menyenangkan...,positif
Suka,netral
Nyaman tempatnya,positif
Untuk pecinta sejarah sip dah,netral
Malam lebih bagus sebab pijaran api sangat jelas.. Namun tidak seramai siang.. Dan malam agak sulit Berswafoto..,netral
Bagus u tuk blajar,netral
Hening damel ritualan,netral
Mencapai kedamain malam. Di kesendirian..,netral
karena PPKM hanya bisa sampai di luar saja,netral
"Salah satu wisatanya kota bojonegoro yang terkenal dengan api abadi yang tidak padam walaupun terkena air hujan dan di sini terdapat  air blekutuk yang baunya seperti belerang, wisata ini berada di kawasan hutan yang rindang dan sejuk",netral
Subhanallah,netral
"Perjalanan dari kota bojonegoro kurang lebih 40 menit via dander, untuk siang hari api tidak nampak jelas karena api berwarna biru, perjalanan bisa dilakukan dengan mobil ataupun sepeda, tempatnya bagus bersih, kasih penjaga yg aktif dong pihak pengelola,  krn msih bnyak tangan jahil yg melakukan corat coret di dinding ( vandalisme) , untuk kebersihan ok , kita semua harus menjaga jika berkunjung jangan corat coret apapun.",netral
Cahaya penerang.........,netral
tempat bersejarah,netral
Kurang menarik tempat nya. Summer api dan sumur belerang nya jg kurang dirawat.,negatif
Bersih... Pohon rindang dan pedagang serta petugas yg ramah,positif
Tempat bersih suasana nyaman dan tenang,positif
Sangat senang,netral
"Kalau daftar keajaiban dunia bisa di tambah, saya merekomkan kayangan api sebagai salah satunya.

Mengapa?
Karena tempat ini menyimpan sejarah, tempat ini ada api abadi, tempat ini sangat elok ada di tengah hutan, tempat ini nyaman membuat hati tentram, dan disini penduduk sekitar sangat ramah dan bersahaja.

Kayangan api merupakan salah satu icon dan tempat wisata kebanggan Bojonegoro

Pemeliharaan tempat ini juga bagus dan kebersihan terjaga. Di lengkapi tempat parkir, pujasera, mushola dan juga toilet.",netral
Buktikan sendiri,netral
"Masuk ke tempatnya jalan paving block
Paa kmrn kesana sepi asik banget",netral
"Wisata alam ini cukup menarik untuk WisLok,perlu penanganan yg lebih baik agar diminati",netral
Keren perlu ditingkatkan promosi fasilitasnya,netral
Kereen,netral
"Kebersihanxa terjaga n sejuk ,selain jalan"" jga bisa nmbah pengetahuan n mengenal sejarah",netral
"Tempat nya woowww bgt...  👍👍👍
Akses jalannya juga sdh baik..
Monggo PINARAK BOJONEGORO 😊👍🙏",netral
"Menurut aq sih biasa aja.
Harga tiket nya mahal 7500 per/orang.",netral
Cukup baik,netral
"Wisata alam yang bagus utk keluarga n edukasi anak. Tempatnya bagus , jalan menuju kesana juga bagus. Oh ya jangan lupa lihat video kayangan api di youtube channel Shafyna Juan Diary . Subscribe like n share ya..Terima kasih",positif
"Ma syaa Alloh,. La quwwata illa billah",netral
Bagus.. Tempatnya..,positif
Wisata Alam Legenda Bojonegoro,netral
"Tempat wisata hits khas ikon Kota Bojonegoro. Api abadi yang tak pernah padam. Selain wisata, sering digunakan juga untuk acara adat tradisional tiap tahunnya. Belum ke Bojonegoro kalau belum kesini. Waktu tempuh sekitar 30-45 menit dari pusat kota.",netral
Tempatnya kalo siang eksotis dan malam harinya..... hmmmm,netral
"Tempat wisata yang sangat menarik, bernuansa alami, juga tersedia musollah, toilet, warung makan dan minum,, dan yg lebih menarik lagi telah di persiapkan AHLI TERAPI BEKAM dan PIJAT URAT.",positif
"Lokasi unik, tempat bersih",positif
"Tempat yg nyaman buat bersantai bersama keluarga, selain itu juga tempat bersejarah dan bisa memberikan wawasan pada generasi penerus",positif
"Alhamdulilah ini adalah wisata yg jarang ada di dunia
Hanya ad abeberapa tempat saja sumber api abadi yg bisa keluar dari dalam perut bumi langsung",netral
"Lumayan nyaman. Senyap, tidak terlalu ramai. Cocok buat yang nyari ketenangan",positif
"Keindahan alam yg patut di jaga dan dilestarikan,,",netral
Bagus. Asri,positif
"Tempat nya sejuk, buat nyantai sekeluarga dan edukasi anak anak untuk mengenal sejarah dan budaya",netral
saya kesini mengisi waktu luang liburan pada saat covid meski sepi pengunjung tempatnya nyaman,netral
Sangat cocok untuk meditasi,netral
Mantap2 enak,netral
"Tempatnya bersih,nyaman tapi panas banget padahal itu sampai sana sore hari
Tapi senang karena ada pendopo bangunan lama seperti mengingat sejarah",positif
Panas,negatif
"pengalaman berkunjung kesini, tempatnya kurang terawat, pemkab harusnya memberi perhatian ekstra di tempat ini, mengingat salah satu wisata yang paling sering di kunjungi wisatawan di Bojonegoro.. akses masuknya juga sudah bagus jika dari kota, jalan beton,. semoga kedepannya bisa lebih baik lagi.",negatif
Bagus banget dan Alami,positif
Bagus,netral
Tempat yang cocok untuk liburan keluarga dengan harga tiket masuk yang terjangkau. Dapat mempelajari tentang sejarah - sejarah kayangan api yang mungkin tidak banyak diketahui orang. Api abadi yang tidak pernah padam dan masih terlihat saat pagi/siang hari. Jika berkunjung di malam hari pasti api akan terlihat menarik. Kayangan Api buka selama 24 jam,netral
Berkah Abadi,netral
"Tempat wisata yg wajib dikunjungi ketika singgah di Bojonegoro, khususnya di sore dan malam hari 👍👍👍",netral
bagus,netral
Bagus bet,netral
Nyaman buat santai,positif
"Sejuk dan hanya 30menit dari kota Bojonegoro.
Jangan lupa membeli kerupuk khas sini, dari ubi gerut orang lokal bilangnya. Kalau sore lebih indah dan semakin gelap api abadinya akan semakin nampak jelas. Disini aman juga unruk bawa anak-anak dan manula. Ada musola dan toilet.",netral
Bagus,netral
Bagus & sejuk,positif
Salah satu icon wisata dikota bojonegoro yaitu kayangan api (API ABADI) yang berada di kabupaten bojonegoro.,netral
Sangat istimewa tempat pariwisata dan religius untuk mensyukuri kebesaran Tuhan,netral
"Saya dari Nganjuk dan pernah satu kali ke Waduk Pacal-Bojonegoro. Karena sudah sampai disitu, tiba-tiba ingin berkunjung ke ""Wisata Kayangan Api"" yang masih sekota. Tetapi tak dikira ternyata letak ""Wisata Kayangan Api"" sangat jauh, kira-kira 20an kilo meter dari ""Waduk Pacal"" yang pernah saya kunjungi sebelumnya sekian tahun lalu. Sebenarnya saya hampir putus asa karena sangat jauhnya tadi. Tetapi tanggung, karena saya sudah beberapa belas kilo meter melewati Waduk Pacal, maka setelah bertanya-tanya selama perjalanan disertai informasi tentang lokasi wisata tersebut oleh warga masyarakat tempat saya bertanya tadi, maka timbul rasa penasaran dan tetap harus bertekat bulat menuju lokasi tersebut.
Setelah jalan aspal yang saya lewati sampai pertigaan jalan paving ke kiri mengarah ke dalam hutan, maka saya berhenti sejenak disitu. Tampak  pintu gerbang yang berupa gapura. Disitu ada tulisan ""Wisata Kayangan Api"". Sayapun segera masuk mengarah kesana melewati jalan paving. Berhenti sejenak untuk membayar ongkos masuk, kembali saya teruskan perjalanan di atas paving yang akhirnya berhenti di parkiran mobil. Berikutnya : Bayabgkan sendiri keindahan hutan di Wisata Kayanfan Api.",netral
"Bisa sebagai tempat edukasi, karena ada gas akam yang keluar, sehingga apinya menyala sepanjang waktu.
Tempatnya teduh, karena berada dikawasan hutan jati, dan sudah dikelola dengan baik.",netral
"Kayangan Api Bojonegoro. Salah satu lokasi api abadi selain mrapen, dimana mrapen ternyata apinya sudah padam. Lokasinya lumayan terpencil di tengah hutan jalan alternatif cepu Bojonegoro. Apinya berasal dari gas alam dan bau belerang tercium disini. Masih gratis dikunjungi selama pandemi. Lokasinya juga termasuk sakral karena ada pertapaan. Mungkin harus mampir kalo lg menuju ke Bojonegoro ato Mojokerto dari cepu.",netral
Bagus banget,positif
kerja bagus,netral
Bagus,netral
"tempatnya bagus, petugas kebersihannya selalu nyapuin area sekitar, masuknya mumpung masih gratis",positif
"Tempatnya bersih, dan semua fasilitasnya bagus dan lengkap.",positif
Pagi,netral
Tempat nya msh ad sakral2 klo di sini..jd hati2 jg klo bicara...👌,netral
"Akses menuju tempat ini sudah mulus, bagus dan memadai, tentunya cocok buat kalian pecinta alam. apalagi tempat ini berada di tengah hutan. suasananya sangat nyaman. tempat parkir luas, toilet bersih, mushola, tiket murah, tentunya cocok juga untuk wisata edukasi. karena tempat ini sangat bersejarah, apalagi api abadi yang memang gak pernah padam. banyak juga penjualan makanan khas daerah dan oleh oleh",positif
"Tempatnya bersih,masih asri,pengunjungnya jga gk terlalu banyak,keren apinya ya gk pernah padam...",positif
tahap perluasan tempat wisata juga.,netral
"Tempat yang bagus, tenang n yg pasti tempat bersejarah titipan leluhur jaman dulu... Harus di jaga n rawat bersama 🙏🙏",netral
Ada api abadi.. Keajaiban nanture,netral
"Nice , api abadi",netral
"Sayang, waktu kesana area nya di tutup karena covid - 19",netral
"Tempat yang nyaman dan bersejarah. yang suka tempat alami, sunyi. kuy kesini. masih asri ditengah hutan jati",positif
"Yo Bojonegoro! Salah satu destinasi wisata di Kabupaten Bojonegoro yang berlokasi di Kecamatan Ngasem, Bojonegoro. Katanya dari cerita yang saya dengar, disini api abadi dan ada sejarahnya juga, dimulai dari empu pembuat keris pusaka dari jaman kerajaan Majapahit yang menyepi disini dengan nama samaran karena beliau tidak ingin diketahui identitasnya. Oh ya api abadi disini dulunya digunakan empu tersebut untuk membuat keris, disini ada juga banyu blukutuk ataupun tempat buat menyepi (pondokan pondokan kecil).

Untuk fasilitas disini juga dikatakan cukup baik seperti mushola, pujasera, pendapa pondokan buat menyepi, tempat parkir luas bahkan toilet untuk difabel dengan tempatnya yang bersih (diharapkan juga kesadaran pengunjung untuk buang sampah ditempat sampah yang disediakan).

So far so good, karena sepanjang perjalanan kesana banyak pepohonan yang asik dan juga bisa dijadikan spot foto sama suara burung juga ada. .

Oiya kalau bisa, jalan menuju lokasi wisatanya diberikan sign system biar memudahkan orang yang mau kesana, biarpun ada Google map dan gapura besar yang menandakan lokasi masuknya, tapi akan lebih baik ada sign systemnya. Dan patuhi protokol kesehatan ya bosku.

Go Bojonegoro Go!",netral
Cantik,netral
Tempat strategis,netral
"Tempat wisata yg nyaman, asri,bersih,murah dan alami
Akses jalanya bagus",positif
keajaiban dunia ada disini... mr brsama sama utk merawatnya,netral
"Wisata alam, api abadi",netral
Tempat nya bagus,positif
Wisata lokal. DAMAI dan bersejarah.,netral
Mungkin pemkab Bojonegoro bisa menambah out Bond d lokasi tersebut,netral
Wisata alam gratis,netral
