text_tokens,Compound_Score,Sentiments
keren,0.0,Netral
great for night photos,0.6249,Positif
just the fire goes out,-0.34,Negatif
Sip Api Badi,0.0,Netral
cool and peaceful,0.6705,Positif
fire heaven,0.2263,Positif
"good road access, cheap entrance tickets, Rp. unfortunately, selling gazebos, relaxing families, suggestions for selling souvenirs from Khayangan Api",0.5719,Positif
how come the map doesn't match Pasuruan and I get lost following the map,-0.3182,Negatif
very beautiful location,0.6361,Positif
beautiful comfortable tourism area,0.802,Positif
cocok refreshing,0.0,Netral
shady place,0.0,Netral
Good,0.4404,Positif
baby take care,0.4939,Positif
beautiful view,0.5994,Positif
"the night opens but the place is horrible, delicious, the forest is dark, swepi night",0.0772,Positif
,0.0,Netral
Good,0.4404,Positif
take a tour there for the tension of thought tracing the story of the eternal flame,-0.3182,Negatif
sustainable so that the fire is reduced,-0.3947,Negatif
"that attracts a magical visit to nature, the eternal fire goes out in a beautiful natural environment",0.7717,Positif
cool nice,0.6249,Positif
spacious comfortable suitable for families,0.5106,Positif
Good,0.4404,Positif
cool exotic,0.3182,Positif
it's kegan,0.0,Netral
mystical atmosphere suitable for those who like mystical,0.3612,Positif
history of the era of the king of Majapahit forging tosan aji meditation ancestors greetings rahayu,0.4215,Positif
great night tourism,0.6249,Positif
"entrance tickets for weekdays, motorbike parking, prayer room, special toilets for disabilities, comfortable lactation rooms",0.7184,Positif
"nice cool, don't go near the fire, it smells of sulfur",0.4019,Positif
"the atmosphere of the night, the mystical impression of a hundred-year-old teak tree, wrapped in white cloth, highlighting the lights of the tree, the authority, the authority, it's a pity that the responsible jung is spilled, the waste left over from the official carsis, so it's like coordination",0.3774,Positif
"alhamdulillah, the enchantment of the natural fire of heaven in Bojonegoro amazed",0.765,Positif
amazed very satisfied,0.7425,Positif
Kayangan Api Bojonegoro is eternal fire,-0.34,Negatif
tour of the eternal flames of bojo city,0.0,Netral
the wrong tourist destination is an educational tour history of the site of the location of the eternal flame sulfuric water source for keris houses the location of the meditation point of teaching points nice selfie neat area layout easy location access smooth concrete road pointing directions so tourists point to google maps signal location smooth forest location worried signal must be wrong magical world Bojonegoro version,0.0772,Positif
"beautiful, nice, cultural site, historical Bojonegoro district",0.7717,Positif
already done,0.0,Netral
really hot like the fire nation,0.0972,Positif
nice clean,0.6705,Positif
good place visit,0.4404,Positif
"it's clean, the well area, then the house is dirty",0.2263,Positif
themselves,0.0,Netral
criticism,-0.4404,Negatif
comfortable place,0.5106,Positif
I love history,0.6369,Positif
"Good night, glowing fire serama, day and night, it's hard to take selfies",0.0258,Positif
It's good for you to study,0.4404,Positif
silent ritual,0.0,Netral
achieve peace at night alone,0.3612,Positif
ppkm,0.0,Netral
"one tour of the city of Bojonegoro knows the eternal fire goes out when hit by rain water, the water smells of sulfur, tours in cool shady forest areas",-0.0258,Negatif
subhanallah,0.0,Netral
jala bojonegoro city minutes via dander noon fire looks blue fire mesh car bicycle nice place clean take care of active management because there are still lots of ignorant hands scribbling on walls clean vandalism ok take care to visit scribble what,0.9118,Positif
bright light,0.4404,Positif
history,0.0,Netral
"take care of the summer, the fire of the sulfur well, also take care of it",0.7269,Positif
clean shady trees trading friendly duties,0.7096,Positif
clean comfortable atmosphere teg,0.7184,Positif
themselves,0.0,Netral
the world's magic list recommands heaven api one save history eternal fire beautiful forest comfortable heart peaceful sitting friendly celestial fire wrong icon tourism pride bojonegoro maintain good clean keep complete parking pujasera prayer room toilet,0.9761,Positif
proof,0.0,Netral
"when you enter the paving block road where you go there, it's really cool",-0.079,Negatif
nature tourism pulls the dead wislok pega,-0.6486,Negatif
cool level promotion facility,0.3182,Positif
cool,0.3182,Positif
"Take care of the cleanliness and coolness of the road, also know more about the history",0.4939,Positif
it's woowww really the access road is already monggo parak Bojonegoro,0.0,Netral
I wrote the ticket price is expensive people,0.0,Netral
,0.0,Netral
nature tourism is good for families and education for children good place to go there is good oh yeah forgot to watch the Kayangan Api video YouTube channel Shafyna Juan Diary subscribe like n share yes thank you,0.9571,Positif
God forbid there are no forces to God,-0.0772,Negatif
nice place,0.4215,Positif
Bojonegoro legend nature tour,0.0,Netral
hits tour typical of the icon of the city of Bojonegoro the eternal flame goes out tour of the traditional customary events of the year Bojonegoro come here in minutes to the city center,0.0,Netral
the place if the day is exotic at night hmmmm,0.0,Netral
"Tours with natural nuances, prayer rooms, toilets, food and drink stalls, ready for cupping massage therapists",0.6124,Positif
clean unique location,0.4019,Positif
"which is comfortable, family history is insightful for generations to come",0.5106,Positif
"thank God, rare tours in the world, there are several sources of eternal fire that are directly in the bowels of the earth",0.296,Positif
"quite comfortable, quiet, crowded, suitable for tension",0.3167,Positif
beautiful nature that should be preserved,0.5994,Positif
nice beautiful,0.7717,Positif
"it's cool, relaxing, family education, children know cultural history",0.6705,Positif
"come here to fill the free time of the covid holidays, it's quiet to visit a comfortable place",0.8481,Positif
suitable for meditation,0.0,Netral
great delicious,0.8316,Positif
"a clean, comfortable place, really hot in the afternoon, in the historical building pavilion",0.7184,Positif
hot,0.0,Netral
"nature, visit here, where the district government takes care of it, pay extra attention, wrong tour, visit Bojonegoro tourists, good entrance access, city with concrete roads, hopefully the front",0.6486,Positif
really good natural,0.7159,Positif
Good,0.4404,Positif
"suitable for family holidays, the price of admission reaches the history of the history of heaven, fire people, the eternal fire goes out in the morning, noon and night, the fire pulls the heavens, the fire opens hours",0.0516,Positif
eternal blessing,0.4939,Positif
a must-visit tour to stop at Bojonegoro in the evening,-0.296,Negatif
Good,0.4404,Positif
good bet,0.4404,Positif
comfortable relax,0.7351,Positif
cool minutes Bojonegoro city forgot to buy crackers typical of grunt sweet potato local people say beautiful afternoon dark eternal fire looks safe to bring older children to the toilet,0.8658,Positif
Good,0.4404,Positif
nice cool,0.6249,Positif
"one of the tourism icons for Bojonegoro City, Kayangan, the eternal fire of Bojonegoro Regency",-0.34,Negatif
special religious tourism great thanks God,0.8957,Positif
"Visiting the Pacal River, Bojonegoro, visiting Kayangan Api City, where the Kayangan Api tour is located, Kilometers, the Pacal Dam is visiting hopelessly away, fifteen kilometers through the Pacal Jail reservoir, as well as information on tourist sites, residents are curious about the location of the asphalt road, passing the three paving roads to the left. the direction of the forest, stop there, the gate gate there, write the Kayangan Api tour. I go there via the paving road. Stop paying the entrance fee.",-0.4939,Negatif
gas education for fire flames in the shade of managed teak forest areas,-0.34,Negatif
"Kayangan Api Bojonegoro, wrong location, eternal fire mrapen where mrapen, fire is out, pretty location.",-0.5719,Negatif
really good,0.4927,Positif
good work,0.4404,Positif
Good,0.4404,Positif
"good place, clean duty, sweep the entrance area while it's free",0.836,Positif
clean place with good facilities complete,0.6808,Positif
morning,0.0,Netral
it's still sacred if you have a heart too when you talk,0.6369,Positif
"smooth access, good and suitable, love nature, forest, comfortable atmosphere, spacious parking, clean toilets, prayer room, cheap tickets, suitable for educational tours, the history of the eternal flame that does not go out, sells regional specialties",0.9201,Positif
"a clean, beautiful place to visit, the fire doesn't cool, so it doesn't go out",0.5003,Positif
tourism area,0.0,Netral
good tea n history entrusted to the ancestors of the time to look after and care for,0.7845,Positif
ture magic eternal flame,0.0,Netral
Nice school,0.4215,Positif
it's a shame the area is closed for covid,-0.4767,Negatif
"comfortable, history likes to be natural, quiet, kuy here is beautiful in the middle of a teak forest",0.91,Positif
"Yo Bojonegoro, the wrong tourist destination, Bojonegoro regency, the location of the sub-district head of Ngasem, Bojonegoro, heard the story of the eternal flame, the history of the master for the heirloom keris from the time of the Majapahit king, Nyepi, his pseudonym, identity, oh yes, the eternal fire used to be the master of the Keris Banyu Blukutuk, Nyepi, Pondok Pondok, Facilities, Prayer Room, Pujasera Pendapa, Pondok Nyepi, Parking area, Disabled toilets a clean place, please be aware that you are throwing away the trash, the trash can is ready, the net is far good, the pepoho is cool, so it's a photo spot for the sound of birds. Oh, the sign system is a tourist location, so it's easy for people to go there, even though the Google map, the medakan gate, the sign system entry location complies with the healthy protocol, boss, go bojonegoro go",0.9297,Positif
beautiful,0.5994,Positif
strategic,0.0,Netral
"travel that is comfortable, beautiful, clean, cheap, natural, good net access",0.936,Positif
miracle of the world mr brsama to treat,0.7579,Positif
tour of the eternal flames,0.0,Netral
its good,0.4404,Positif
historical peaceful local tours,0.4939,Positif
Bojonegoro regency government adds location bond,0.0,Netral
free nature tours,0.5106,Positif
shortcut help,0.4019,Positif
Good,0.4404,Positif
historical site,0.0,Netral
Good,0.4404,Positif
the history of empu supo era to make keris,0.0,Netral
nice full story,0.4215,Positif
forget history,-0.2263,Negatif
natural tourism,0.3612,Positif
,0.0,Netral
good place msi natural flower msi,0.6597,Positif
mantulll,0.0,Netral
meaning ,0.0,Netral
beautiful,0.5994,Positif
nice neat comfortable shady,0.8442,Positif
"good n clean, thicker, great faith, Allah w",0.91,Positif
beautiful,0.5994,Positif
Good,0.4404,Positif
sad,-0.4767,Negatif
nice place full of history,0.4215,Positif
history of attraction,0.4588,Positif
Bojonegoro tourism,0.0,Netral
ok great,0.743,Positif
salah landmark history bojonegoro region fire flame year ancient times legendary blacksmith empu supamati legendary keris indonesia keris renovation order neat clean,0.5574,Positif
fun place,0.5106,Positif
look at the cool air of open nature,0.3182,Positif
shady place fit santa family gazebo rest,0.3612,Positif
beautiful,0.5994,Positif
nice to add a lot of photo spots,0.4215,Positif
,0.0,Netral
must visit to live in bojonegoro,0.0,Netral
"The YT Rodex Pro channel is rare, fortunately Bojonegoro belongs to",0.0,Netral
Friendly task history,0.4939,Positif
"the place is cool, the fire is warm, don't get too hot, it's suitable",0.2023,Positif
natural good,0.6597,Positif
nice destination kusu dander,0.4215,Positif
"open visiting hours at night, exotic grilled fish, great atmosphere",0.6249,Positif
khayangan api salah tour beautiful tourists come where the eternal flame of uni itself,0.5994,Positif
good night,0.4404,Positif
Good,0.4404,Positif
nice cool,0.6249,Positif
kegan,0.0,Netral
enchanting natural attractions,0.6486,Positif
Good,0.4404,Positif
the history of master supo the maestro for keris who knows keris disputes,-0.2732,Negatif
go for a morning bicycle walk in the fresh air around the teak trees,0.3182,Positif
amazed,0.4939,Positif
eternal fire,-0.34,Negatif
"smooth access, good roads, looking for easy tourist objects, neat, friendly management",0.9001,Positif
"recommendations for tourism in the Bojonegoro area, good places to visit",0.4404,Positif
a place of fear,-0.4939,Negatif
siti zulaikah kahyangan api tour,0.0,Netral
experience,0.0,Netral
Entering the palace is quite a healthy protocol,0.4549,Positif
let's stop by,-0.296,Negatif
Thank goodness for historical information,0.6705,Positif
decent tea place,0.0,Netral
cool place,0.3182,Positif
its steady,0.0,Netral
Bojonegoro nature tourism,0.0,Netral
It's good to know the cultural history of Bojonegoro,0.4404,Positif
there,0.0,Netral
"it's hot but the view is good, still the renovation process",0.5927,Positif
"recreation, education reaches the middle of the economy",0.0516,Positif
enduring legend,0.0,Netral
Alhamdulillah the benefits of the love of the universe,0.7783,Positif
beautiful natural bojonegoro icon,0.7506,Positif
"It's delicious, meaning nature teaches you to go there. Tell people that they understand the heat. It's okay",0.6808,Positif
beautiful natural tourism is a must visit,0.7506,Positif
natural tourism,0.3612,Positif
entertainment variations of santa awat,0.4215,Positif
,0.0,Netral
amazed immortal flames real legend lives grandparents god yme the elect,0.743,Positif
"His historical tour is clean, the prayer room is clean, the children are ready for the pavilion, it is clean, suitable for family holidays, the main expensive is the healthy protocol, spacious parking, free entry to the new normal transition",0.9531,Positif
nice sacred,0.4215,Positif
unique tour,0.0,Netral
closed because of corona,0.0,Netral
nice like it,0.6486,Positif
participation exhibition title,0.0,Netral
open clock history,0.0,Netral
"good access road, clean tidy place, fire attractions, sulfur mud pool, kayaking at night, open night photos of Bojonegoro city",0.7184,Positif
like to tour Kayanyan Api Wisata Ita Pull,0.3612,Positif
close coronas,0.0,Netral
Good,0.4404,Positif
eternal fire a place of silence around pepoho manage it clean keep the price of admission affordable,0.0772,Positif
"history is suitable for family tourism the fire goes out it rains if you come here in the evening so day and night it's also good, there are photos, there are prayer room toilets as well as food stalls too, if you're hungry, don't worry",0.6131,Positif
cheap,0.0,Netral
Good,0.4404,Positif
comfortable refreshing full of history,0.5106,Positif
religious tourism kendal bojonegoro,0.0,Netral
shady place is really educational,0.0,Netral
one end,0.0,Netral
"history, take care of stories for future generations, proud of their ancestors",0.743,Positif
the fire phenomenon of the eternal flame goes out,-0.34,Negatif
entry ticket long view beautiful forest photo spot,0.5994,Positif
historical place,0.0,Netral
Really good,0.4927,Positif
change,0.0,Netral
adem,0.0,Netral
"good tour, visit the road, location is ok, damaged, wide view, typical of teak forest, parking area, large area, food stalls, cheap entry tickets",0.0,Netral
turn cuyy,0.0,Netral
beautiful nature of the village,0.5994,Positif
"rare tours, the fire goes out, it rains heavily, recommended family tours at night of fire",-0.4588,Negatif
wonder of nature,0.0,Netral
evening water facility,0.0,Netral
the fire goes out,-0.34,Negatif
the wonder of the great divine realm,0.8271,Positif
cheap clean tickets suitable for educational tours,0.4019,Positif
family travel,0.0,Netral
Good,0.4404,Positif
the eternal fire from the belly of the earth is good at night,0.128,Positif
"unique tour to stop by Bojonegoro when you come here, access to a good location, open at night, hit the atmosphere of a fire in the middle of the forest, right location",-0.1779,Negatif
facilities on,0.0,Netral
it's good to enter the forest at night,0.4404,Positif
really the fire didn't go out when it hit the water of the tree of love,0.3657,Positif
cool fire,-0.0258,Negatif
"the place is easy to reach, the city of Bojonegoro, the location is comfortable, comfortable, strong",0.9169,Positif
mystical,0.0,Netral
kayangan api one tourist attractions bojonegoro good view eternal fire many food vendors one memorable eating corn burned using eternal fire,0.2263,Positif
limit,0.0,Netral
legend,0.0,Netral
good keep going,0.4404,Positif
support the relaxed thoughts of the night,0.7096,Positif
such as,0.0,Netral
nice change,0.4215,Positif
cool area,0.3182,Positif
the distance is the city of Bojonegoro minutes,0.0,Netral
hmmm really mystical,0.0,Netral
keren,0.0,Netral
Bojonegoro Fire Heaven Tour,0.2263,Positif
tidy place,0.0,Netral
"easy location access, complicated, easy to meet, student tours and vacation holidays",0.8126,Positif
nice place,0.4215,Positif
flame,0.0,Netral
"complete suggestion for the flying fox arena, air bikes, etc., if you visit",0.0,Netral
"nature tour of the fire that went out in Bojonegoro, East Java",-0.34,Negatif
cogan,0.0,Netral
cool tour,0.3182,Positif
history holiday,0.4019,Positif
pretty good,0.7269,Positif
cool beautiful beautiful natural friendly,0.9413,Positif
"I like it because village tourism is advanced tourism, thank God",0.7964,Positif
"it's good, the difference is that there are lots of facilities, you need to add a clean crew, the spacious pavilion, the floor is clean, it's more economical, renting reunions, etc.",0.8074,Positif
Good,0.4404,Positif
keren,0.0,Netral
people selling good tours of the Grobogan Reservoir,0.4404,Positif
good java geoheritage,0.4404,Positif
,0.0,Netral
"see the fire of people roasting corn, spot the photo of the gazebo, plug it in",-0.34,Negatif
"it's nice that the trees are big, shady, but it looks like a nice fire at night",0.6956,Positif
eternal flame cool,0.3182,Positif
nice nature,0.4215,Positif
tourism nice historical site nice eternal fire nice folklore nice people,0.8316,Positif
tv number,0.0772,Positif
good forge eternal flame extinguished,0.4404,Positif
eternal flame of history of Bojonegoro district,0.0,Netral
visit one of the magic world fire goes out day and night quiet location bustling teak garden shady fire well of sulfur water strange hot water boiling water bubbling foam its good at night the fire can be seen during the day delicious kotok coffee delicious cheap price you should try the coffee casserole the coffee is boiled directly served water unique spilled coffee plate,0.6597,Positif
diligently pull excited,0.34,Positif
sip,0.0,Netral
good,0.4404,Positif
Historical geology tours are recommended to be thorough,0.2023,Positif
"positive aura, spacious parking, comfortable, the klotok coffee is really good",0.8777,Positif
Aurax hopes to return to the days of kings,0.4215,Positif
cool tour,0.3182,Positif
unique history,0.0,Netral
comfortable shady place to stop,0.2732,Positif
"went there at night, madam, it was really fun, even though it was dark, it was crowded, so it was crowded, not madam",0.5563,Positif
"Subhanallah, the fire is burning, it's raining, it's a shame the road there is good",-0.3818,Negatif
travel recommendations for children,0.0,Netral
"very beautiful place where Bojonegoro is parked for motorbikes, cars are also spacious, comfortable, safe, hopefully modern, crowded, facilities, complete musholla, bravo bojonegoro",0.92,Positif
awesome great,0.8481,Positif
the heaven of fire is good there,0.5859,Positif
limit,0.0,Netral
amazed tour,0.4939,Positif
steady slur,0.0,Netral
"Heaven's Fire Tour Wrong Tourism Bojonegoro Region, East Java, where an eternal fire appears in the bowels of the earth",-0.7845,Negatif
beautiful,0.5994,Positif
to know tourism icon bojonegoro eternal fire love tree bubble crater bubble complete facilities coverage stalls musholla toilets etc lacking damaged roads entrance gate,-0.0258,Negatif
"it's pretty good, it's good to plant green leaves in the dry season so that the impression is shady",0.8797,Positif
jew,0.0,Netral
good small fire,0.128,Positif
good educational tour bojonegoro district,0.4404,Positif
,0.0,Netral
keren,0.0,Netral
sacred historical values,0.4019,Positif
comfortable relaxing cool,0.8316,Positif
eternal fire,-0.34,Negatif
village,0.0,Netral
nature tourism eternal source of fire location forest area Ngasem sub-district easy access road location asphalt cast concrete location clean convenient family tourism suitable cultural education family history children selling roasted corn unsalted eternal flames self-interest tourists are busy visiting traffic jams holidays khayangan api tours forget to take care clean manners,0.8689,Positif
dear boom,0.3818,Positif
Good,0.4404,Positif
tourist attraction,0.4588,Positif
Good,0.4404,Positif
,0.0,Netral
hot,0.0,Netral
"recharging mood is really a place where you just pay, you see, the fire doesn't go out, it's exciting to go home in an okay mood",0.3182,Positif
fresh air,0.3182,Positif
tourist attractions visit cultural historical elements natural phenomena holidays normal bustling atmosphere normally quiet born native Bojonegoro visit there age of head advertising promo wider community attracts public attraction thank you so much,0.9337,Positif
god created,0.4767,Positif
"a beautiful place in the pepoho, hopefully in the future",0.765,Positif
eternal fire,-0.34,Negatif
very cool recom,0.3804,Positif
good for education,0.4404,Positif
jungle tourists enjoy jala pepoho teak tours stop at the ticket counter directly buy tickets cost Rp. person enters the wall gate of the majestic majaphit architectural style guard the eternal fire inside yes the smell of strong sulfur is beautiful visit the pool of spun trees the bags stop by local trade bargain cassava chips make local delicious visit witness the flames of the fire eternal location warm location fire road bidding site photography site oh yes look look look for local sites rich know history local legend sites prayer room facilities local trade toilets sell drink present family friendly location recommendation visit afternoon site bright flame,0.9694,Positif
take care,0.4939,Positif
a natural phenomenon,0.3612,Positif
the flying fox is exciting,0.4939,Positif
sacred place,0.0,Netral
the location is good at night unfortunately the parking attendant is friendly,0.5719,Positif
"Bojonegoro natural tourism, roasted corn directly by natural fire",0.3818,Positif
"convenient, easy access, spacious parking, like here",0.6597,Positif
comfortable,0.5106,Positif
Good,0.4404,Positif
eternal flame located in the middle of the forest take active fire sports,0.0772,Positif
"take good fire, mystical aura",0.128,Positif
comfortable beautiful dear access to provincial roads,0.8689,Positif
natural tourism,0.3612,Positif
reasonable,0.0,Netral
