text_tokens,klasifikasi,Compound_Score,Sentiments
nice tour enjoys emitting eternal fire truly the creation of the almighty allah,positif,0.8271,positif
nice place with a lot of history very cold very cold a place that feels like coming home,positif,0.6486,positif
good fire,netral,0.128,positif
one of the bojonegoro family tours must visit the iconic one of bojonegoro city torch fire olympic take easy tourist access spacious parking entrance fee thousand people,netral,0.128,positif
net level of distribution does not include prices,netral,0.0,netral
god s creative wisdom,netral,0.8126,positif
nice place it s a shame to take care of the water supply sometimes i don t apologize for managing it,negatif,0.5106,positif
suitable for educational tourism for the younger generation of cultural heritage,netral,0.0,netral
deserted,netral,0.0,netral
wide place,netral,0.0,netral
one of the wonders of the world,netral,0.0,netral
kayangan fire is the eternal source of fire in the teak forest,netral,-0.5859,negatif
parking ticket prices access to clean toilet locations,netral,0.4019,positif
exciting exciting night,netral,0.7506,positif
nice strategic comfortable place easy to reach,positif,0.8442,positif
one of the heirs of the ancestors should be preserved,netral,0.0,netral
it s good the heavenly fire tour,positif,0.6705,positif
nice cool place to have a coffee walk,positif,0.6249,positif
do not regret here,netral,0.3252,positif
reasonable,netral,0.0,netral
beautiful culture of kayangan api tourism which is nice to visit,netral,0.7717,positif
oh it s good,positif,0.4404,positif
i came here to find photos that really make me nostalgic for the eternal flame,netral,0.0,netral
the road is good the ticket bend is quite reach yes historical tourism,netral,0.7408,positif
angling charity,netral,0.4215,positif
thank god,netral,0.5574,positif
clean spacious parking lot clean prayer room clean toilets,positif,0.7964,positif
the location is comfortable cool the ticket price reaches the true magic of nature which is guaranteed to be regretful,positif,0.6908,positif
its really good,positif,0.4927,positif
beautiful,positif,0.5994,positif
wow what s eternal there s no real rain,positif,0.3818,positif
really amazed by the nature of the heavenly fire created by allah swt the fire does not go out and it rains,positif,0.6901,positif
from history,netral,0.0,netral
halfway lan cong,netral,0.0,netral
the price of ancestral history for generations that deserve a holiday visit,netral,0.4019,positif
elysium,netral,0.0,netral
it takes a creative touch to create an alternative to a relaxing santuy location,netral,0.802,positif
not bad the front level of the construction hook imitates the hallmark of bales,netral,0.431,positif
bojonegoro tourism,netral,0.0,netral
make you feel comfortable,netral,0.5106,positif
kayangan api tour is a worthy tour to visit believe in the fire of the majapahit era mbah kriyo sumo for heirlooms ms kriyo moved hut changed the name of mpu supo keris who knows the eternal fire the source of water that is boiling but hot the water doesn t overflow it doesn t rain but the fire doesn t extinguish the rain water from the blekutuk well is used for gilding heirlooms for mpu supo mpu supo sure moksa the place to reach the kayangan api tour is not difficult because the net is good,netral,0.8278,positif
nature tourism is really amazed by the charm of the spacious parking lot which feels like the atmosphere of the king s era,positif,0.8268,positif
solid,netral,0.1531,positif
interesting educational tour,positif,0.4019,positif
pemkab added tourist facilities,netral,0.0,netral
manage,netral,0.0,netral
come here right after work it s not crowded,netral,0.0,netral
come here when i work it s not crowded the road is smooth the location is spacious it s good,positif,0.4404,positif
eternal fire,netral,-0.34,negatif
record the history of the fire of heaven believe that the era of the king of majapahit the fire is often tapa tapa magic the fire appears tapa comes home tapa brings a forest fire immediately ignites the place where the fire is located in heaven,netral,-0.5267,negatif
nice place really cool cuyy the road to the location is good smooth,positif,0.807,positif
,netral,0.0,netral
bojonegoro iconic tour,netral,0.0,netral
i like cool places the location of the forest area the nuances of the king s era the road leads to cor muluuus,positif,0.5859,positif
family tourism in the bojonegoro region must come,netral,0.0,netral
,netral,0.0,netral
criticism,netral,-0.4404,negatif
good fire night,positif,0.128,positif
rare and unique,netral,0.0,netral
close at night,netral,0.0,netral
cool place,positif,0.3182,positif
the eternal flame goes out it s rare to exist it s unique to bojonegoro the pujasera kayangan api,netral,0.0,netral
no no no no no no no no complete facilities care salute service for the people who are on guard,positif,0.9084,positif
natural cold air,positif,0.3612,positif
keren,positif,0.0,netral
great for night photos,netral,0.6249,positif
just the fire goes out,netral,-0.34,negatif
sip api badi,netral,0.0,netral
cool and peaceful,positif,0.6705,positif
fire heaven,netral,0.2263,positif
good road access cheap entrance tickets rp unfortunately selling gazebos relaxing families suggestions for selling souvenirs from khayangan api,positif,0.5719,positif
how come the map doesn t match pasuruan and i get lost following the map,netral,-0.3182,negatif
very beautiful location,positif,0.6361,positif
beautiful comfortable tourism area,positif,0.802,positif
cocok refreshing,netral,0.0,netral
shady place,positif,0.0,netral
good,netral,0.4404,positif
baby take care,netral,0.4939,positif
beautiful view,netral,0.5994,positif
the night opens but the place is horrible delicious the forest is dark swepi night,netral,0.0772,positif
,positif,0.0,netral
good,netral,0.4404,positif
take a tour there for the tension of thought tracing the story of the eternal flame,positif,-0.3182,negatif
sustainable so that the fire is reduced,netral,-0.3947,negatif
that attracts a magical visit to nature the eternal fire goes out in a beautiful natural environment,positif,0.7717,positif
cool nice,positif,0.6249,positif
spacious comfortable suitable for families,positif,0.5106,positif
good,netral,0.4404,positif
cool exotic,positif,0.3182,positif
it s kegan,netral,0.0,netral
mystical atmosphere suitable for those who like mystical,netral,0.3612,positif
history of the era of the king of majapahit forging tosan aji meditation ancestors greetings rahayu,netral,0.4215,positif
great night tourism,netral,0.6249,positif
entrance tickets for weekdays motorbike parking prayer room special toilets for disabilities comfortable lactation rooms,netral,0.7184,positif
nice cool don t go near the fire it smells of sulfur,netral,0.4019,positif
the atmosphere of the night the mystical impression of a hundred year old teak tree wrapped in white cloth highlighting the lights of the tree the authority the authority it s a pity that the responsible jung is spilled the waste left over from the official carsis so it s like coordination,negatif,0.3744,positif
alhamdulillah the enchantment of the natural fire of heaven in bojonegoro amazed,positif,0.765,positif
amazed very satisfied,positif,0.7425,positif
kayangan api bojonegoro is eternal fire,netral,-0.34,negatif
tour of the eternal flames of bojo city,netral,0.0,netral
the wrong tourist destination is an educational tour history of the site of the location of the eternal flame sulfuric water source for keris houses the location of the meditation point of teaching points nice selfie neat area layout easy location access smooth concrete road pointing directions so tourists point to google maps signal location smooth forest location worried signal must be wrong magical world bojonegoro version,netral,0.0772,positif
beautiful nice cultural site historical bojonegoro district,positif,0.7717,positif
already done,netral,0.0,netral
really hot like the fire nation,netral,0.0972,positif
nice clean,positif,0.6705,positif
good place visit,netral,0.4404,positif
it s clean the well area then the house is dirty,negatif,0.2263,positif
themselves,positif,0.0,netral
criticism,netral,-0.4404,negatif
comfortable place,positif,0.5106,positif
i love history,netral,0.6369,positif
good night glowing fire serama day and night it s hard to take selfies,netral,0.0258,positif
it s good for you to study,netral,0.4404,positif
silent ritual,netral,0.0,netral
achieve peace at night alone,netral,0.3612,positif
ppkm,netral,0.0,netral
one tour of the city of bojonegoro knows the eternal fire goes out when hit by rain water the water smells of sulfur tours in cool shady forest areas,netral,-0.0258,negatif
subhanallah,netral,0.0,netral
jala bojonegoro city minutes via dander noon fire looks blue fire mesh car bicycle nice place clean take care of active management because there are still lots of ignorant hands scribbling on walls clean vandalism ok take care to visit scribble what,netral,0.9118,positif
bright light,netral,0.4404,positif
history,netral,0.0,netral
take care of the summer the fire of the sulfur well also take care of it,negatif,0.7269,positif
clean shady trees trading friendly duties,positif,0.7096,positif
clean comfortable atmosphere teg,positif,0.7184,positif
themselves,netral,0.0,netral
the world s magic list recommands heaven api one save history eternal fire beautiful forest comfortable heart peaceful sitting friendly celestial fire wrong icon tourism pride bojonegoro maintain good clean keep complete parking pujasera prayer room toilet,netral,0.9761,positif
proof,netral,0.0,netral
when you enter the paving block road where you go there it s really cool,netral,-0.079,negatif
nature tourism pulls the dead wislok pega,netral,-0.6486,negatif
cool level promotion facility,netral,0.3182,positif
cool,netral,0.3182,positif
take care of the cleanliness and coolness of the road also know more about the history,netral,0.4939,positif
it s woowww really the access road is already monggo parak bojonegoro,netral,0.0,netral
i wrote the ticket price is expensive people,netral,0.0,netral
,netral,0.0,netral
nature tourism is good for families and education for children good place to go there is good oh yeah forgot to watch the kayangan api video youtube channel shafyna juan diary subscribe like n share yes thank you,positif,0.9571,positif
god forbid there are no forces to god,netral,-0.0772,negatif
nice place,positif,0.4215,positif
bojonegoro legend nature tour,netral,0.0,netral
hits tour typical of the icon of the city of bojonegoro the eternal flame goes out tour of the traditional customary events of the year bojonegoro come here in minutes to the city center,netral,0.0,netral
the place if the day is exotic at night hmmmm,netral,0.0,netral
tours with natural nuances prayer rooms toilets food and drink stalls ready for cupping massage therapists,positif,0.6124,positif
clean unique location,positif,0.4019,positif
which is comfortable family history is insightful for generations to come,positif,0.5106,positif
thank god rare tours in the world there are several sources of eternal fire that are directly in the bowels of the earth,netral,0.296,positif
quite comfortable quiet crowded suitable for tension,positif,0.3167,positif
beautiful nature that should be preserved,netral,0.5994,positif
nice beautiful,positif,0.7717,positif
it s cool relaxing family education children know cultural history,netral,0.6705,positif
come here to fill the free time of the covid holidays it s quiet to visit a comfortable place,netral,0.8481,positif
suitable for meditation,netral,0.0,netral
great delicious,netral,0.8316,positif
a clean comfortable place really hot in the afternoon in the historical building pavilion,positif,0.7184,positif
hot,negatif,0.0,netral
nature visit here where the district government takes care of it pay extra attention wrong tour visit bojonegoro tourists good entrance access city with concrete roads hopefully the front,negatif,0.6486,positif
really good natural,positif,0.7159,positif
good,netral,0.4404,positif
suitable for family holidays the price of admission reaches the history of the history of heaven fire people the eternal fire goes out in the morning noon and night the fire pulls the heavens the fire opens hours,netral,0.0516,positif
eternal blessing,netral,0.4939,positif
a must visit tour to stop at bojonegoro in the evening,netral,-0.296,negatif
good,netral,0.4404,positif
good bet,netral,0.4404,positif
comfortable relax,positif,0.7351,positif
cool minutes bojonegoro city forgot to buy crackers typical of grunt sweet potato local people say beautiful afternoon dark eternal fire looks safe to bring older children to the toilet,netral,0.8658,positif
good,netral,0.4404,positif
nice cool,positif,0.6249,positif
one of the tourism icons for bojonegoro city kayangan the eternal fire of bojonegoro regency,netral,-0.34,negatif
special religious tourism great thanks god,netral,0.8957,positif
visiting the pacal river bojonegoro visiting kayangan api city where the kayangan api tour is located kilometers the pacal dam is visiting hopelessly away fifteen kilometers through the pacal jail reservoir as well as information on tourist sites residents are curious about the location of the asphalt road passing the three paving roads to the left the direction of the forest stop there the gate gate there write the kayangan api tour i go there via the paving road stop paying the entrance fee,netral,-0.4939,negatif
gas education for fire flames in the shade of managed teak forest areas,netral,-0.34,negatif
kayangan api bojonegoro wrong location eternal fire mrapen where mrapen fire is out pretty location,netral,-0.5719,negatif
really good,positif,0.4927,positif
good work,netral,0.4404,positif
good,netral,0.4404,positif
good place clean duty sweep the entrance area while it s free,positif,0.836,positif
clean place with good facilities complete,positif,0.6808,positif
morning,netral,0.0,netral
it s still sacred if you have a heart too when you talk,netral,0.6369,positif
smooth access good and suitable love nature forest comfortable atmosphere spacious parking clean toilets prayer room cheap tickets suitable for educational tours the history of the eternal flame that does not go out sells regional specialties,positif,0.9201,positif
a clean beautiful place to visit the fire doesn t cool so it doesn t go out,positif,0.7579,positif
tourism area,netral,0.0,netral
good tea n history entrusted to the ancestors of the time to look after and care for,netral,0.7845,positif
ture magic eternal flame,netral,0.0,netral
nice school,netral,0.4215,positif
it s a shame the area is closed for covid,netral,-0.4767,negatif
comfortable history likes to be natural quiet kuy here is beautiful in the middle of a teak forest,positif,0.91,positif
yo bojonegoro the wrong tourist destination bojonegoro regency the location of the sub district head of ngasem bojonegoro heard the story of the eternal flame the history of the master for the heirloom keris from the time of the majapahit king nyepi his pseudonym identity oh yes the eternal fire used to be the master of the keris banyu blukutuk nyepi pondok pondok facilities prayer room pujasera pendapa pondok nyepi parking area disabled toilets a clean place please be aware that you are throwing away the trash the trash can is ready the net is far good the pepoho is cool so it s a photo spot for the sound of birds oh the sign system is a tourist location so it s easy for people to go there even though the google map the medakan gate the sign system entry location complies with the healthy protocol boss go bojonegoro go,netral,0.9295,positif
beautiful,netral,0.5994,positif
strategic,netral,0.0,netral
travel that is comfortable beautiful clean cheap natural good net access,positif,0.936,positif
miracle of the world mr brsama to treat,netral,0.7579,positif
tour of the eternal flames,netral,0.0,netral
its good,positif,0.4404,positif
historical peaceful local tours,netral,0.4939,positif
bojonegoro regency government adds location bond,netral,0.0,netral
free nature tours,netral,0.5106,positif
shortcut help,netral,0.4019,positif
good,netral,0.4404,positif
historical site,netral,0.0,netral
good,netral,0.4404,positif
the history of empu supo era to make keris,netral,0.0,netral
nice full story,positif,0.4215,positif
forget history,netral,-0.2263,negatif
natural tourism,netral,0.3612,positif
,netral,0.0,netral
good place msi natural flower msi,netral,0.6597,positif
mantulll,netral,0.0,netral
meaning,netral,0.0,netral
beautiful,netral,0.5994,positif
nice neat comfortable shady,positif,0.8442,positif
good n clean thicker great faith allah w,netral,0.91,positif
beautiful,netral,0.5994,positif
good,positif,0.4404,positif
sad,netral,-0.4767,negatif
nice place full of history,positif,0.4215,positif
history of attraction,netral,0.4588,positif
bojonegoro tourism,netral,0.0,netral
ok great,netral,0.743,positif
salah landmark history bojonegoro region fire flame year ancient times legendary blacksmith empu supamati legendary keris indonesia keris renovation order neat clean,netral,0.5574,positif
fun place,positif,0.5106,positif
look at the cool air of open nature,netral,0.3182,positif
shady place fit santa family gazebo rest,positif,0.3612,positif
beautiful,netral,0.5994,positif
nice to add a lot of photo spots,netral,0.4215,positif
,netral,0.0,netral
must visit to live in bojonegoro,netral,0.0,netral
the yt rodex pro channel is rare fortunately bojonegoro belongs to,netral,0.0,netral
friendly task history,netral,0.4939,positif
the place is cool the fire is warm don t get too hot it s suitable,netral,0.2023,positif
natural good,positif,0.6597,positif
nice destination kusu dander,netral,0.4215,positif
open visiting hours at night exotic grilled fish great atmosphere,netral,0.6249,positif
khayangan api salah tour beautiful tourists come where the eternal flame of uni itself,netral,0.5994,positif
good night,netral,0.4404,positif
good,netral,0.4404,positif
nice cool,positif,0.6249,positif
kegan,netral,0.0,netral
enchanting natural attractions,positif,0.6486,positif
good,positif,0.4404,positif
the history of master supo the maestro for keris who knows keris disputes,netral,-0.2732,negatif
go for a morning bicycle walk in the fresh air around the teak trees,netral,0.3182,positif
amazed,netral,0.4939,positif
eternal fire,netral,-0.34,negatif
smooth access good roads looking for easy tourist objects neat friendly management,positif,0.9001,positif
recommendations for tourism in the bojonegoro area good places to visit,netral,0.4404,positif
a place of fear,negatif,-0.4939,negatif
siti zulaikah kahyangan api tour,netral,0.0,netral
experience,netral,0.0,netral
entering the palace is quite a healthy protocol,netral,0.4549,positif
let s stop by,netral,-0.296,negatif
thank goodness for historical information,netral,0.6705,positif
decent tea place,positif,0.0,netral
cool place,positif,0.3182,positif
its steady,positif,0.0,netral
bojonegoro nature tourism,netral,0.0,netral
it s good to know the cultural history of bojonegoro,netral,0.4404,positif
there,netral,0.0,netral
it s hot but the view is good still the renovation process,netral,0.5927,positif
recreation education reaches the middle of the economy,positif,0.0516,positif
enduring legend,netral,0.0,netral
alhamdulillah the benefits of the love of the universe,netral,0.7783,positif
beautiful natural bojonegoro icon,netral,0.7506,positif
it s delicious meaning nature teaches you to go there tell people that they understand the heat it s okay,netral,0.6808,positif
beautiful natural tourism is a must visit,netral,0.7506,positif
natural tourism,netral,0.3612,positif
entertainment variations of santa awat,negatif,0.4215,positif
,netral,0.0,netral
amazed immortal flames real legend lives grandparents god yme the elect,netral,0.743,positif
his historical tour is clean the prayer room is clean the children are ready for the pavilion it is clean suitable for family holidays the main expensive is the healthy protocol spacious parking free entry to the new normal transition,positif,0.9531,positif
nice sacred,netral,0.4215,positif
unique tour,netral,0.0,netral
closed because of corona,positif,0.0,netral
nice like it,netral,0.6486,positif
participation exhibition title,netral,0.0,netral
open clock history,netral,0.0,netral
good access road clean tidy place fire attractions sulfur mud pool kayaking at night open night photos of bojonegoro city,positif,0.7184,positif
like to tour kayanyan api wisata ita pull,positif,0.3612,positif
close coronas,netral,0.0,netral
good,netral,0.4404,positif
eternal fire a place of silence around pepoho manage it clean keep the price of admission affordable,netral,0.0772,positif
history is suitable for family tourism the fire goes out it rains if you come here in the evening so day and night it s also good there are photos there are prayer room toilets as well as food stalls too if you re hungry don t worry,netral,-0.0772,negatif
cheap,netral,0.0,netral
good,netral,0.4404,positif
comfortable refreshing full of history,positif,0.5106,positif
religious tourism kendal bojonegoro,positif,0.0,netral
shady place is really educational,positif,0.0,netral
one end,netral,0.0,netral
history take care of stories for future generations proud of their ancestors,netral,0.743,positif
the fire phenomenon of the eternal flame goes out,netral,-0.34,negatif
entry ticket long view beautiful forest photo spot,netral,0.5994,positif
historical place,netral,0.0,netral
really good,netral,0.4927,positif
change,netral,0.0,netral
adem,netral,0.0,netral
good tour visit the road location is ok damaged wide view typical of teak forest parking area large area food stalls cheap entry tickets,positif,0.296,positif
turn cuyy,positif,0.0,netral
beautiful nature of the village,netral,0.5994,positif
rare tours the fire goes out it rains heavily recommended family tours at night of fire,netral,-0.4588,negatif
wonder of nature,netral,0.0,netral
evening water facility,netral,0.0,netral
the fire goes out,netral,-0.34,negatif
the wonder of the great divine realm,netral,0.8271,positif
cheap clean tickets suitable for educational tours,positif,0.4019,positif
family travel,netral,0.0,netral
good,netral,0.4404,positif
the eternal fire from the belly of the earth is good at night,netral,0.128,positif
unique tour to stop by bojonegoro when you come here access to a good location open at night hit the atmosphere of a fire in the middle of the forest right location,netral,-0.1779,negatif
facilities on,negatif,0.0,netral
it s good to enter the forest at night,netral,0.4404,positif
really the fire didn t go out when it hit the water of the tree of love,netral,0.3657,positif
cool fire,netral,-0.0258,negatif
the place is easy to reach the city of bojonegoro the location is comfortable comfortable strong,positif,0.9169,positif
mystical,netral,0.0,netral
kayangan api one tourist attractions bojonegoro good view eternal fire many food vendors one memorable eating corn burned using eternal fire,netral,0.2263,positif
limit,netral,0.0,netral
legend,netral,0.0,netral
good keep going,netral,0.4404,positif
support the relaxed thoughts of the night,netral,0.7096,positif
such as,netral,0.0,netral
nice change,positif,0.4215,positif
cool area,positif,0.3182,positif
the distance is the city of bojonegoro minutes,netral,0.0,netral
hmmm really mystical,netral,0.0,netral
keren,netral,0.0,netral
bojonegoro fire heaven tour,netral,0.2263,positif
tidy place,netral,0.0,netral
easy location access complicated easy to meet student tours and vacation holidays,positif,0.8126,positif
nice place,positif,0.4215,positif
flame,netral,0.0,netral
complete suggestion for the flying fox arena air bikes etc if you visit,netral,0.0,netral
nature tour of the fire that went out in bojonegoro east java,netral,-0.34,negatif
cogan,netral,0.0,netral
cool tour,positif,0.3182,positif
history holiday,netral,0.4019,positif
pretty good,netral,0.7269,positif
cool beautiful beautiful natural friendly,positif,0.9413,positif
i like it because village tourism is advanced tourism thank god,netral,0.7964,positif
it s good the difference is that there are lots of facilities you need to add a clean crew the spacious pavilion the floor is clean it s more economical renting reunions etc,netral,0.8074,positif
good,netral,0.4404,positif
keren,netral,0.0,netral
people selling good tours of the grobogan reservoir,netral,0.4404,positif
good java geoheritage,positif,0.4404,positif
,netral,0.0,netral
see the fire of people roasting corn spot the photo of the gazebo plug it in,netral,-0.34,negatif
it s nice that the trees are big shady but it looks like a nice fire at night,netral,0.6956,positif
eternal flame cool,netral,0.3182,positif
nice nature,positif,0.4215,positif
tourism nice historical site nice eternal fire nice folklore nice people,positif,0.8316,positif
tv number,netral,0.0772,positif
good forge eternal flame extinguished,netral,0.4404,positif
eternal flame of history of bojonegoro district,netral,0.0,netral
visit one of the magic world fire goes out day and night quiet location bustling teak garden shady fire well of sulfur water strange hot water boiling water bubbling foam its good at night the fire can be seen during the day delicious kotok coffee delicious cheap price you should try the coffee casserole the coffee is boiled directly served water unique spilled coffee plate,netral,0.6597,positif
diligently pull excited,netral,0.34,positif
sip,netral,0.0,netral
good,netral,0.4404,positif
historical geology tours are recommended to be thorough,netral,0.2023,positif
positive aura spacious parking comfortable the klotok coffee is really good,netral,0.8777,positif
aurax hopes to return to the days of kings,netral,0.4215,positif
cool tour,netral,0.3182,positif
unique history,netral,0.0,netral
comfortable shady place to stop,positif,0.2732,positif
went there at night madam it was really fun even though it was dark it was crowded so it was crowded not madam,netral,0.5563,positif
subhanallah the fire is burning it s raining it s a shame the road there is good,netral,-0.3818,negatif
travel recommendations for children,netral,0.0,netral
very beautiful place where bojonegoro is parked for motorbikes cars are also spacious comfortable safe hopefully modern crowded facilities complete musholla bravo bojonegoro,netral,0.92,positif
awesome great,netral,0.8481,positif
the heaven of fire is good there,netral,0.5859,positif
limit,netral,0.0,netral
amazed tour,netral,0.4939,positif
steady slur,netral,0.0,netral
heaven s fire tour wrong tourism bojonegoro region east java where an eternal fire appears in the bowels of the earth,netral,-0.5574,negatif
beautiful,positif,0.5994,positif
to know tourism icon bojonegoro eternal fire love tree bubble crater bubble complete facilities coverage stalls musholla toilets etc lacking damaged roads entrance gate,netral,-0.0258,negatif
it s pretty good it s good to plant green leaves in the dry season so that the impression is shady,netral,0.8797,positif
jew,netral,0.0,netral
good small fire,netral,0.128,positif
good educational tour bojonegoro district,netral,0.4404,positif
,netral,0.0,netral
keren,netral,0.0,netral
sacred historical values,netral,0.4019,positif
comfortable relaxing cool,positif,0.8316,positif
eternal fire,netral,-0.34,negatif
village,netral,0.0,netral
nature tourism eternal source of fire location forest area ngasem sub district easy access road location asphalt cast concrete location clean convenient family tourism suitable cultural education family history children selling roasted corn unsalted eternal flames self interest tourists are busy visiting traffic jams holidays khayangan api tours forget to take care clean manners,netral,0.9153,positif
dear boom,netral,0.3818,positif
good,positif,0.4404,positif
tourist attraction,netral,0.4588,positif
good,netral,0.4404,positif
,netral,0.0,netral
hot,negatif,0.0,netral
recharging mood is really a place where you just pay you see the fire doesn t go out it s exciting to go home in an okay mood,netral,0.3182,positif
fresh air,netral,0.3182,positif
tourist attractions visit cultural historical elements natural phenomena holidays normal bustling atmosphere normally quiet born native bojonegoro visit there age of head advertising promo wider community attracts public attraction thank you so much,netral,0.9337,positif
god created,netral,0.4767,positif
a beautiful place in the pepoho hopefully in the future,netral,0.765,positif
eternal fire,netral,-0.34,negatif
very cool recom,netral,0.3804,positif
good for education,positif,0.4404,positif
jungle tourists enjoy jala pepoho teak tours stop at the ticket counter directly buy tickets cost rp person enters the wall gate of the majestic majaphit architectural style guard the eternal fire inside yes the smell of strong sulfur is beautiful visit the pool of spun trees the bags stop by local trade bargain cassava chips make local delicious visit witness the flames of the fire eternal location warm location fire road bidding site photography site oh yes look look look for local sites rich know history local legend sites prayer room facilities local trade toilets sell drink present family friendly location recommendation visit afternoon site bright flame,netral,0.9694,positif
take care,negatif,0.4939,positif
a natural phenomenon,netral,0.3612,positif
